municipality_code,metric,metric_label,period,value,unit,source_id,quality
3428,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2024,620,personer,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2024,113.879003558719,rate,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2024,256,personer,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_rate,Skader – per 1000,2024,106.316725978648,rate,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_antall,Skader – antall,2024,239,personer,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2017,121.475054229935,rate,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2017,168,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2017,143.167028199566,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2017,198,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2017,115.690527838033,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2017,160,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2017,65.0759219088937,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2017,90,personer,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2017,45.5531453362256,rate,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2017,63,personer,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2017,25.3073029645698,rate,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2017,35,personer,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2017,7.95372378886479,rate,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2017,11,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2017,324.656543745481,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2017,449,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2017,257.411424439624,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2017,356,personer,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2017,143.167028199566,rate,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2017,198,personer,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_rate,Skader – per 1000,2017,109.182935647144,rate,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_antall,Skader – antall,2017,151,personer,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2018,124.499453949763,rate,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2018,171,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2018,118.674918092465,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2018,163,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2018,85.9119038951584,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2018,118,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2018,48.0524208227157,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2018,66,personer,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2018,49.5085547870404,rate,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2018,68,personer,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2018,21.8420094648708,rate,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2018,30,personer,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2018,12.3771386967601,rate,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2018,17,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2018,327.630141973062,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2018,450,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2018,242.446305060066,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2018,333,personer,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2018,164.543137968693,rate,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2018,226,personer,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_rate,Skader – per 1000,2018,99.7451765562432,rate,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_antall,Skader – antall,2018,137,personer,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2019,104.565537555228,rate,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2019,142,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2019,117.083946980854,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2019,159,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2019,84.6833578792342,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2019,115,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2019,46.3917525773196,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2019,63,personer,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2019,53.7555228276878,rate,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2019,73,personer,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2019,21.3549337260677,rate,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2019,29,personer,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2019,11.7820324005891,rate,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2019,16,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2019,329.896907216495,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2019,448,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2019,265.832106038292,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2019,361,personer,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2019,167.893961708395,rate,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2019,228,personer,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_rate,Skader – per 1000,2019,112.665684830633,rate,fhi_nokkel_370,ekte
3429,kpr_skader_0_74_antall,Skader – antall,2019,153,personer,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2020,106.737320211961,rate,fhi_nokkel_370,ekte
3429,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2020,141,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2020,118.092354277063,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2020,156,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2020,89.3262679788039,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2020,118,personer,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2020,47.6911430734292,rate,fhi_nokkel_370,ekte
3429,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2020,63,personer,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2020,43.1491294473883,rate,fhi_nokkel_370,ekte
3429,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2020,57,personer,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2020,18.9250567751703,rate,fhi_nokkel_370,ekte
3429,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2020,25,personer,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2020,8.32702498107494,rate,fhi_nokkel_370,ekte
3429,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2020,11,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2020,330.809992429977,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2020,437,personer,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2020,283.118849356548,rate,fhi_nokkel_370,ekte
3429,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2020,374,personer,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2020,133.232399697199,rate,fhi_nokkel_370,ekte
3429,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2020,176,personer,fhi_nokkel_370,ekte
